Address,Title,Price,Area,Land Area,Rooms,Price per m²,Link
Ursynów,dom na sprzedaż 365m2,3 300 000 zł,"365 
m
2","0,0710 
ha",9,"9 041 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-ursynow-365m2/155476239
Ursynów,dom na sprzedaż 1017m2,7 900 000 zł,"1017 
m
2","0,1195 
ha",14,"7 768 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-ursynow-1017m2/154113008
Ursus,dom na sprzedaż 360m2,2 300 000 zł,"360 
m
2","0,1000 
ha",9,"6 389 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-ursus-360m2/154112898
Wawer,dom na sprzedaż 400m2,2 940 000 zł,"400 
m
2","0,2293 
ha",8,"7 350 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-400m2/155476050
Ursynów,dom na sprzedaż 600m2,6 000 000 zł,"600 
m
2","0,1980 
ha",7,"10 000 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-ursynow-600m2/155476042
Ursynów,dom na sprzedaż 610m2,4 400 000 zł,"610 
m
2","0,0851 
ha",12,"7 213 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-ursynow-610m2/155476040
Wilanów,dom na sprzedaż 350m2,3 950 000 zł,"350 
m
2","0,1000 
ha",6,"11 286 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-350m2/155476038
Wawer,dom na sprzedaż 400m2,3 500 000 zł,"400 
m
2","0,0742 
ha",10,"8 750 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-400m2/155475860
"Ursynów, ul. Bażancia",dom na sprzedaż 210m2,2 900 000 zł,"210 
m
2","0,0450 
ha",5,"13 810 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-ursynow-ul-bazancia-210m2/155475854
Praga-Południe,dom na sprzedaż 200m2,2 790 000 zł,"200 
m
2","0,0445 
ha",4,"13 950 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-praga-poludnie-200m2/155475519
Praga-Południe Saska Kępa,dom na sprzedaż 295m2,2 990 000 zł,"295 
m
2","0,0300 
ha",6,"10 136 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-praga-poludnie-saska-kepa-295m2/155472521
Wilanów,dom na sprzedaż 234m2,2 300 000 zł,"234 
m
2","0,0400 
ha",7,"9 829 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-234m2/155472519
Wilanów,dom na sprzedaż 234m2,2 116 000 zł,"234 
m
2","0,0400 
ha",7,"9 043 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-234m2/155472518
Ursynów Pyry,dom na sprzedaż 105m2,2 150 000 zł,"105 
m
2","0,0457 
ha",4,"20 476 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-ursynow-pyry-105m2/155472516
"Wilanów, Piechoty Łanowej",dom na sprzedaż 680m2,4 300 000 zł,"680,22 
m
2","0,0380 
ha",13,"6 321 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-piechoty-lanowej-680m2/155471438
"Bielany, Młociny, Dankowicka",dom na sprzedaż 270m2,2 999 000 zł,"270,20 
m
2","0,0400 
ha",9,"11 099 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-bielany-dankowicka-270m2/155469639
Mokotów,dom na sprzedaż 35m2,59 000 zł,"35 
m
2","0,0300 
ha",2,"1 686 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-mokotow-35m2/155468453
"Wilanów, Kępa Zawadowska",dom na sprzedaż 350m2,3 950 000 zł,"350 
m
2","0,1000 
ha",6,"11 286 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-350m2/155463504
Białołęka,dom na sprzedaż 378m2,2 790 000 zł,"378 
m
2","0,1088 
ha",7,"7 381 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-bialoleka-378m2/155461770
"Wesoła, 1 Praskiego Pułku WP",dom na sprzedaż 320m2,2 690 000 zł,"320 
m
2","0,0753 
ha",8,"8 406 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wesola-1-praskiego-pulku-wp-320m2/155458598
"Praga-Południe, Saska Kępa",dom na sprzedaż 320m2,3 950 000 zł,"320 
m
2","0,0190 
ha",11,"12 344 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-praga-poludnie-320m2/155457159
Wilanów,dom na sprzedaż 246m2,3 300 000 zł,"246 
m
2","0,0897 
ha",4,"13 415 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-246m2/155456867
"Białołęka, Szamocin, Piknikowa",dom na sprzedaż 110m2,1 270 000 zł,"110 
m
2","0,0040 
ha",5,"11 545 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-bialoleka-piknikowa-110m2/154815284
"Wawer, Jeziorowa",dom na sprzedaż 144m2,2 290 000 zł,"144 
m
2","0,0262 
ha",5,"15 903 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-jeziorowa-144m2/155447839
"Wawer, Koryncka",dom na sprzedaż 480m2,1 599 000 zł,"480 
m
2","0,0907 
ha",11,"3 331 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-koryncka-480m2/155443850
"Wawer, Wał Miedzeszyński",dom na sprzedaż 107m2,1 228 580 zł,"107 
m
2","0,0130 
ha",4,"11 482 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-wal-miedzeszynski-107m2/155442219
"Mokotów, Spiralna",dom na sprzedaż 121m2,1 415 579 zł,"121 
m
2","0,0300 
ha",4,"11 699 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-mokotow-spiralna-121m2/155433453
